Rank,Name,Symbol,Price,YTD %,90d %,60d %,30d %,7d %,Market Cap,Volume (24h),Circulating Supply,Total Supply,24h %,1h %
80,Stacks,STX,0.4261,72.20,49.92,37.28,36.82,3.05,769377911,29239224,68.69,1805315386,0.89,0.12
81,Nexo,NEXO,1.16,10.17,12.75,10.59,9.01,0.71,755172653,20308068,17.43,1000000000,1.73,0.09
82,Optimism,OP,0.4217,75.92,45.50,40.74,47.88,13.47,750177549,190295272,451.97,4294967296,1.37,0.02
83,Plasma,XPL,0.4110,50.57,50.62,50.62,50.57,16.25,739802605,537308751,1.30,10000000000,1.79,0.83
84,Curve DAO Token,CRV,0.5192,41.88,46.77,39.00,32.69,1.32,727545901,222449084,429.00,2314605388,0.15,0.87
85,Aerodrome Finance,AERO,0.7588,42.35,15.30,41.18,42.22,11.58,684988454,74411488,98.25,1768007798,1.43,0.03
86,The Graph,GRT,0.06287,68.46,43.95,30.28,34.86,2.43,663566290,37740516,601.27,11378018532,0.91,0.02
87,Kaia,KAIA,0.1032,48.59,38.89,31.13,35.18,5.45,634556700,58699486,569.76,6145887328,1.21,0.21
88,Morpho,MORPHO,1.77,48.82,15.73,11.21,13.23,9.63,627164743,106986562,60.35,1000000000,5.84,1.07
89,Pyth Network,PYTH,0.1093,68.96,19.93,6.46,34.42,2.59,628837664,56933778,522.02,9999983071,1.83,0.03
90,FLOKI,FLOKI,0.00006538,63.02,52.50,35.54,34.55,6.23,623824229,110676961,1.69,9656339344906,0.20,0.06
91,Tezos,XTZ,0.5835,54.56,48.41,28.05,24.96,2.06,619927377,29764597,51.12,1082318098,0.83,0.13
92,Artificial Superintelligence Alliance,FET,0.2613,79.41,67.09,61.14,60.68,33.86,619688532,119575624,459.07,2714493897,1.83,0.44
93,ether.fi,ETHFI,1.07,50.45,18.06,1.92,33.24,9.60,605058209,83440151,77.76,1000000000,0.26,0.02
94,AB,AB,0.007118,4281.67,18.67,25.99,15.82,8.15,587661136,33940036,4.76,98823661261,1.27,0.01
95,IOTA,IOTA,0.1394,50.26,40.88,30.05,27.58,1.98,571246452,30237755,217.23,4600000000,3.53,0.33
96,Dash,DASH,45.70,20.71,84.84,108.55,89.09,28.52,568903680,215566145,4.71,12448608,12.94,2.81
97,Ethereum Name Service,ENS,15.21,56.21,46.35,39.25,36.86,0.77,569331667,106491668,7.01,100000000,1.06,0.20
98,MYX Finance,MYX,2.74,1693.04,3278.43,109.33,83.27,9.98,565569264,46908012,17.06,1000000000,5.57,0.02
99,Conflux,CFX,0.1104,29.27,24.53,36.21,39.88,6.91,568338659,34830379,316.61,5145752095,5.45,0.86
100,Trust Wallet Token,TWT,1.32,9.32,56.32,73.66,67.79,2.67,571508809,61585539,46.98,999860531,3.20,0.06
